Time_tick,PV,Demand,Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,AvgTemp_F,Yn,Yn_class
1,0.0,3.85,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.5136503126662754,1.0
2,0.0,4.08,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.5066689973973556,1.0
3,0.0,3.96,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4995120035166357,1.0
4,0.0,3.96,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4921284096873623,1.0
5,0.0,3.9,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.48451482128954204,1.0
6,0.0,3.72,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.47688935111068903,1.0
7,0.0,3.74,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.46996914144587354,1.0
8,0.0,3.9,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.46396806190946055,1.0
9,0.0,3.87,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4567304424430907,1.0
10,0.0,3.86,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4490676299166708,1.0
11,0.0,3.82,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4409176699692556,1.0
12,0.0,3.72,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.43289925684240144,1.0
13,0.0,3.74,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4255894989514208,1.0
14,0.0,3.82,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4181821419674526,1.0
15,0.0,3.97,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.4103733549762866,1.0
16,0.0,3.93,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.40163779965620483,1.0
17,0.0,3.98,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.39269855898910877,1.0
18,0.0,4.36,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.38409879376457967,1.0
19,0.0,3.88,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3750280062769225,1.0
20,0.0,3.88,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3671097384117363,1.0
21,0.0,3.82,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3589835416190158,1.0
22,0.0,3.93,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3509006280643786,1.0
23,0.0,3.95,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3419902426856526,1.0
24,0.0,3.98,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.33141472990061155,0.0
25,0.0,3.87,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.32232866601192833,0.0
26,0.0,3.77,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3151377246073203,0.0
27,0.0,3.78,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.30794508579087293,0.0
28,0.0,3.9,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.3010333629306475,0.0
29,0.0,4.36,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.29392898784944194,0.0
30,0.0,4.04,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.2859131208403468,0.0
31,0.0,3.73,0,1,0,0,0,0,0,0,0,0,0,0,38.8,0.27872133062797644,0.0
32,0.0,0.99,1,1,0,0,0,0,0,0,0,0,0,0,38.8,0.2751822977236006,0.0
33,0.0,1.01,1,1,0,0,0,0,0,0,0,0,0,0,38.8,0.28238766687423633,0.0
34,0.002,1.11,1,1,0,0,0,0,0,0,0,0,0,0,38.8,0.2894148113462345,0.0
35,0.011,1.28,1,1,0,0,0,0,0,0,0,0,0,0,38.8,0.29667619396729916,0.0
